"Vm","activationTime","activeTension","externalStimulusCurrent","ionicCurrent","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.045835,0.0048001,0,0,3.0887e-05,1,0.0040876,0.00382,0.000573,0.005663
0.045835,0.0048323,0,0,3.0897e-05,1,0.004109,0.00384,0.000576,0.005656
0.045835,0.0048644,0,0,3.0909e-05,1,0.0041304,0.00386,0.000579,0.005649
0.045835,0.0048966,0,0,3.0923e-05,1,0.0041518,0.00388,0.000582,0.005642
0.045835,0.0049287,0,0,3.0939e-05,1,0.0041732,0.0039,0.000585,0.005635
0.045836,0.0049608,0,0,3.098e-05,1,0.0041946,0.00392,0.000588,0.005628
0.045836,0.0049928,0,0,3.1023e-05,1,0.004216,0.00394,0.000591,0.005621
0.045836,0.0050249,0,0,3.1066e-05,1,0.0042374,0.00396,0.000594,0.005614
0.045836,0.0050569,0,0,3.1111e-05,1,0.0042588,0.00398,0.000597,0.005607
0.045836,0.0050888,0,0,3.1159e-05,1,0.0042802,0.004,0.0006,0.0056
0.045836,0.0051224,0,0,3.1168e-05,1,0.0043016,0.00402,0.000603,0.005593
0.045836,0.0051559,0,0,3.1181e-05,1,0.004323,0.00404,0.000606,0.005586
0.045836,0.0051894,0,0,3.1195e-05,1,0.0043444,0.00406,0.000609,0.005579
0.045836,0.0052228,0,0,3.1211e-05,1,0.0043658,0.00408,0.000612,0.005572
0.045836,0.0052562,0,0,3.1229e-05,1,0.0043872,0.0041,0.000615,0.005565
0.045836,0.0052896,0,0,3.1203e-05,1,0.0044086,0.00412,0.000618,0.005558
0.045836,0.0053229,0,0,3.1175e-05,1,0.00443,0.00414,0.000621,0.005551
0.045837,0.0053561,0,0,3.1145e-05,1,0.0044514,0.00416,0.000624,0.005544
0.045837,0.0053893,0,0,3.1113e-05,1,0.0044728,0.00418,0.000627,0.005537
0.045837,0.0054225,0,0,3.108e-05,1,0.0044942,0.0042,0.00063,0.00553
0.045837,0.0054556,0,0,3.1081e-05,1,0.0045156,0.00422,0.000633,0.005523
0.045837,0.0054887,0,0,3.1078e-05,1,0.004537,0.00424,0.000636,0.005516
0.045837,0.0055218,0,0,3.1072e-05,1,0.0045584,0.00426,0.000639,0.005509
0.045837,0.0055548,0,0,3.1062e-05,1,0.0045798,0.00428,0.000642,0.005502
0.045837,0.0055889,0,0,3.1061e-05,1,0.0046012,0.0043,0.000645,0.005495
0.045837,0.0056234,0,0,3.1063e-05,1,0.0046226,0.00432,0.000648,0.005488
0.045837,0.0056578,0,0,3.1063e-05,1,0.004644,0.00434,0.000651,0.005481
0.045837,0.0056922,0,0,3.106e-05,1,0.0046654,0.00436,0.000654,0.005474
0.045837,0.0057266,0,0,3.1055e-05,1,0.0046868,0.00438,0.000657,0.005467
0.045838,0.0057609,0,0,3.1049e-05,1,0.0047082,0.0044,0.00066,0.00546
0.045838,0.0057951,0,0,3.105e-05,1,0.0047296,0.00442,0.000663,0.005453
0.045838,0.0058293,0,0,3.1053e-05,1,0.004751,0.00444,0.000666,0.005446
0.045838,0.0058634,0,0,3.1058e-05,1,0.0047724,0.00446,0.000669,0.005439
0.045838,0.0058975,0,0,3.1063e-05,1,0.0047938,0.00448,0.000672,0.005432
0.045838,0.0059315,0,0,3.1069e-05,1,0.0048152,0.0045,0.000675,0.005425
0.045838,0.0059654,0,0,3.1087e-05,1,0.0048366,0.00452,0.000678,0.005418
0.045838,0.0059994,0,0,3.11e-05,1,0.004858,0.00454,0.000681,0.005411
0.045838,0.0060332,0,0,3.1108e-05,1,0.0048794,0.00456,0.000684,0.005404
0.045838,0.0060677,0,0,3.1115e-05,1,0.0049008,0.00458,0.000687,0.005397
0.045838,0.006103,0,0,3.1123e-05,1,0.0049222,0.0046,0.00069,0.00539
0.045839,0.0061383,0,0,3.1138e-05,1,0.0049436,0.00462,0.000693,0.005383
0.045839,0.0061735,0,0,3.1153e-05,1,0.004965,0.00464,0.000696,0.005376
0.045839,0.0062087,0,0,3.1166e-05,1,0.0049864,0.00466,0.000699,0.005369
0.045839,0.0062438,0,0,3.1177e-05,1,0.0050078,0.00468,0.000702,0.005362
0.045839,0.0062789,0,0,3.1185e-05,1,0.0050292,0.0047,0.000705,0.005355
