time V u1 u2 u3 Iion
0.3836000 0.0000000 2.0754000 0.5901247 0.0000000 -0.0000000
0.3836500 0.0000000 2.0754750 0.5901034 0.0000000 -0.0000000
0.3837000 0.0000000 2.0755500 0.5900821 0.0000000 -0.0000000
0.3837500 0.0000000 2.0756250 0.5900608 0.0000000 -0.0000000
0.3838000 0.0000000 2.0757000 0.5900394 0.0000000 -0.0000000
0.3838500 0.0000000 2.0757750 0.5900181 0.0000000 -0.0000000
0.3839000 0.0000000 2.0758500 0.5899968 0.0000000 -0.0000000
0.3839500 0.0000000 2.0759250 0.5899755 0.0000000 -0.0000000
0.3840000 0.0000000 2.0760000 0.5899542 0.0000000 -0.0000000
0.3840500 0.0000000 2.0760750 0.5899329 0.0000000 -0.0000000
0.3841000 0.0000000 2.0761500 0.5899116 0.0000000 -0.0000000
0.3841500 0.0000000 2.0762250 0.5898902 0.0000000 -0.0000000
0.3842000 0.0000000 2.0763000 0.5898689 0.0000000 -0.0000000
0.3842500 0.0000000 2.0763750 0.5898476 0.0000000 -0.0000000
0.3843000 0.0000000 2.0764500 0.5898263 0.0000000 -0.0000000
0.3843500 0.0000000 2.0765250 0.5898050 0.0000000 -0.0000000
0.3844000 0.0000000 2.0766000 0.5897837 0.0000000 -0.0000000
0.3844500 0.0000000 2.0766750 0.5897624 0.0000000 -0.0000000
0.3845000 0.0000000 2.0767500 0.5897411 0.0000000 -0.0000000
0.3845500 0.0000000 2.0768250 0.5897198 0.0000000 -0.0000000
0.3846000 0.0000000 2.0769000 0.5896985 0.0000000 -0.0000000
0.3846500 0.0000000 2.0769750 0.5896772 0.0000000 -0.0000000
0.3847000 0.0000000 2.0770500 0.5896559 0.0000000 -0.0000000
0.3847500 0.0000000 2.0771250 0.5896346 0.0000000 -0.0000000
0.3848000 0.0000000 2.0772000 0.5896134 0.0000000 -0.0000000
0.3848500 0.0000000 2.0772750 0.5895921 0.0000000 -0.0000000
0.3849000 0.0000000 2.0773500 0.5895708 0.0000000 -0.0000000
0.3849500 0.0000000 2.0774250 0.5895495 0.0000000 -0.0000000
0.3850000 0.0000000 2.0775000 0.5895282 0.0000000 -0.0000000
0.3850500 0.0000000 2.0775750 0.5895069 0.0000000 -0.0000000
0.3851000 0.0000000 2.0776500 0.5894857 0.0000000 -0.0000000
0.3851500 0.0000000 2.0777250 0.5894644 0.0000000 -0.0000000
0.3852000 0.0000000 2.0778000 0.5894431 0.0000000 -0.0000000
0.3852500 0.0000000 2.0778750 0.5894218 0.0000000 -0.0000000
0.3853000 0.0000000 2.0779500 0.5894005 0.0000000 -0.0000000
0.3853500 0.0000000 2.0780250 0.5893793 0.0000000 -0.0000000
0.3854000 0.0000000 2.0781000 0.5893580 0.0000000 -0.0000000
0.3854500 0.0000000 2.0781750 0.5893367 0.0000000 -0.0000000
0.3855000 0.0000000 2.0782500 0.5893155 0.0000000 -0.0000000
0.3855500 0.0000000 2.0783250 0.5892942 0.0000000 -0.0000000
0.3856000 0.0000000 2.0784000 0.5892729 0.0000000 -0.0000000
0.3856500 0.0000000 2.0784750 0.5892517 0.0000000 -0.0000000
0.3857000 0.0000000 2.0785500 0.5892304 0.0000000 -0.0000000
0.3857500 0.0000000 2.0786250 0.5892092 0.0000000 -0.0000000
0.3858000 0.0000000 2.0787000 0.5891879 0.0000000 -0.0000000
0.3858500 0.0000000 2.0787750 0.5891666 0.0000000 -0.0000000
0.3859000 0.0000000 2.0788500 0.5891454 0.0000000 -0.0000000
0.3859500 0.0000000 2.0789250 0.5891241 0.0000000 -0.0000000
0.3860000 0.0000000 2.0790000 0.5891029 0.0000000 -0.0000000
0.3860500 0.0000000 2.0790750 0.5890816 0.0000000 -0.0000000
0.3861000 0.0000000 2.0791500 0.5890604 0.0000000 -0.0000000
0.3861500 0.0000000 2.0792250 0.5890391 0.0000000 -0.0000000
0.3862000 0.0000000 2.0793000 0.5890179 0.0000000 -0.0000000
0.3862500 0.0000000 2.0793750 0.5889966 0.0000000 -0.0000000
0.3863000 0.0000000 2.0794500 0.5889754 0.0000000 -0.0000000
0.3863500 0.0000000 2.0795250 0.5889541 0.0000000 -0.0000000
0.3864000 0.0000000 2.0796000 0.5889329 0.0000000 -0.0000000
0.3864500 0.0000000 2.0796750 0.5889117 0.0000000 -0.0000000
0.3865000 0.0000000 2.0797500 0.5888904 0.0000000 -0.0000000
0.3865500 0.0000000 2.0798250 0.5888692 0.0000000 -0.0000000
0.3866000 0.0000000 2.0799000 0.5888480 0.0000000 -0.0000000
0.3866500 0.0000000 2.0799750 0.5888267 0.0000000 -0.0000000
0.3867000 0.0000000 2.0800500 0.5888055 0.0000000 -0.0000000
0.3867500 0.0000000 2.0801250 0.5887843 0.0000000 -0.0000000
0.3868000 0.0000000 2.0802000 0.5887630 0.0000000 -0.0000000
0.3868500 0.0000000 2.0802750 0.5887418 0.0000000 -0.0000000
0.3869000 0.0000000 2.0803500 0.5887206 0.0000000 -0.0000000
0.3869500 0.0000000 2.0804250 0.5886994 0.0000000 -0.0000000
0.3870000 0.0000000 2.0805000 0.5886781 0.0000000 -0.0000000
0.3870500 0.0000000 2.0805750 0.5886569 0.0000000 -0.0000000
0.3871000 0.0000000 2.0806500 0.5886357 0.0000000 -0.0000000
0.3871500 0.0000000 2.0807250 0.5886145 0.0000000 -0.0000000
0.3872000 0.0000000 2.0808000 0.5885933 0.0000000 -0.0000000
0.3872500 0.0000000 2.0808750 0.5885721 0.0000000 -0.0000000
0.3873000 0.0000000 2.0809500 0.5885508 0.0000000 -0.0000000
0.3873500 0.0000000 2.0810250 0.5885296 0.0000000 -0.0000000
0.3874000 0.0000000 2.0811000 0.5885084 0.0000000 -0.0000000
0.3874500 0.0000000 2.0811750 0.5884872 0.0000000 -0.0000000
0.3875000 0.0000000 2.0812500 0.5884660 0.0000000 -0.0000000
0.3875500 0.0000000 2.0813250 0.5884448 0.0000000 -0.0000000
0.3876000 0.0000000 2.0814000 0.5884236 0.0000000 -0.0000000
0.3876500 0.0000000 2.0814750 0.5884024 0.0000000 -0.0000000
0.3877000 0.0000000 2.0815500 0.5883812 0.0000000 -0.0000000
0.3877500 0.0000000 2.0816250 0.5883600 0.0000000 -0.0000000
0.3878000 0.0000000 2.0817000 0.5883388 0.0000000 -0.0000000
0.3878500 0.0000000 2.0817750 0.5883176 0.0000000 -0.0000000
0.3879000 0.0000000 2.0818500 0.5882964 0.0000000 -0.0000000
0.3879500 0.0000000 2.0819250 0.5882752 0.0000000 -0.0000000
0.3880000 0.0000000 2.0820000 0.5882540 0.0000000 -0.0000000
0.3880500 0.0000000 2.0820750 0.5882328 0.0000000 -0.0000000
0.3881000 0.0000000 2.0821500 0.5882116 0.0000000 -0.0000000
0.3881500 0.0000000 2.0822250 0.5881905 0.0000000 -0.0000000
0.3882000 0.0000000 2.0823000 0.5881693 0.0000000 -0.0000000
0.3882500 0.0000000 2.0823750 0.5881481 0.0000000 -0.0000000
0.3883000 0.0000000 2.0824500 0.5881269 0.0000000 -0.0000000
0.3883500 0.0000000 2.0825250 0.5881057 0.0000000 -0.0000000
0.3884000 0.0000000 2.0826000 0.5880845 0.0000000 -0.0000000
0.3884500 0.0000000 2.0826750 0.5880634 0.0000000 -0.0000000
0.3885000 0.0000000 2.0827500 0.5880422 0.0000000 -0.0000000
0.3885500 0.0000000 2.0828250 0.5880210 0.0000000 -0.0000000
0.3886000 0.0000000 2.0829000 0.5879998 0.0000000 -0.0000000
0.3886500 0.0000000 2.0829750 0.5879787 0.0000000 -0.0000000
